Agamb	Anopheles gambiae	eukaryota	Insecta	
apiMel1	Apis mellifera DH4 (honey bee)	eukaryota	Insecta	
bomTer1	Bombus terrestris (buff-tailed bumblebee)	eukaryota	Insecta	
droAna3	Drosophila ananassae (D. ananassae Feb. 2006 Agencourt CAF1)	eukaryota	Insecta	
droEre2	Drosophila erecta (D. erecta Feb. 2006 Agencourt CAF1)	eukaryota	Insecta	
droGri2	Drosophila grimshawi (D. grimshawi Feb. 2006 Agencourt CAF1)	eukaryota	Insecta	
dm6	Drosophila melanogaster (D. melanogaster Aug. 2014 BDGP Release 6 + ISO1 MT/dm6)	eukaryota	Insecta	
droMoj3	Drosophila mojavensis (D. mojavensis Feb. 2006 Agencourt CAF1)	eukaryota	Insecta	
droPer1	Drosophila persimilis (D. persimilis Oct. 2005 Broad)	eukaryota	Insecta	
dp4	Drosophila pseudoobscura (D. pseudoobscura Feb. 2006)	eukaryota	Insecta	
droSec1	Drosophila sechellia (D. sechellia Oct. 2005 Broad)	eukaryota	Insecta	
droSim1	Drosophila simulans (D. simulans Apr. 2005 WUGSC mosaic 1.0)	eukaryota	Insecta	
droVir3	Drosophila virilis (D. virilis Feb. 2006 Agencourt CAF1)	eukaryota	Insecta	
droWil1	Drosophila willistoni (D. willistoni Feb. 2006)	eukaryota	Insecta	
droYak2	Drosophila yakuba (D. yakuba Nov. 2005 WUGSC 7.1)	eukaryota	Insecta	
mayDes1	Mayetiola destructor (Hessian fly)	eukaryota	Insecta	
nasVit1	Nasonia vitripennis AsymCS (jewel wasp)	eukaryota	Insecta	
timCri1	Timema cristinae (walking stick)	eukaryota	Insecta	
triCas1	Tribolium castaneum (Georgia GA2) (red flour beetle)	eukaryota	Insecta	
ailMel1	Ailuropoda melanoleuca (panda) (BGI-Shenzhen AilMel 1.0 Dec 2009)	eukaryota	Mammalia	
balAcu1	Balaenoptera acutorostrata scammoni (Minke whale Oct. 2013 BalAcu1.0/balAcu1)	eukaryota	Mammalia	
bosTau8	Bos taurus (Cow Jun. 2014 Bos_taurus_UMD_3.1.1/bosTau8)	eukaryota	Mammalia	
bosTau7	Bos taurus (cow) (Baylor Btau_4.6.1 Oct 2011)	eukaryota	Mammalia	
calJac3	Callithrix jacchus (marmoset) (WUGSC 3.2 Mar 2009)	eukaryota	Mammalia	
canFam3	Canis familiaris (dog) (CanFam3.1 Sept 2011)	eukaryota	Mammalia	
cavPor3	Cavia porcellus (Guinea pig) (Broad Feb 2008)	eukaryota	Mammalia	
cerSim1	Ceratotherium simum (White rhinoceros May 2012 CerSimSim1.0/cerSim1)	eukaryota	Mammalia	
criGri1	Cricetulus griseus cell line CHO-K1 (Chinese hamster ovary CriGri 1.0 Aug 2011)	eukaryota	Mammalia	
